CompanyName,ProjectType,LoanType,Address,City,State,ZIP_Code,Latitude,Longitude,CityCouncilDistrict,CityCouncilSuperDistrict,CountyCommissionDistrict,Term,ProjectedNewJobs,ProjectedRetainedJobs,AveragePayroll,Approved_Date,LoanAmount,LoanUse,InterestRate,TotalProjectedCapitalInvestment,PCI_RealProperty,PCI_Acquisition,PCI_Construction,PCI_Renovation,PCI_MachineryEquipment,PCI_FurnitureFixturesOffice,PCI_Equipment,PCI_FeesSoftCosts,PCI_PermanentWorkingCapital,PCI_Miscellaneous
Vitality Hotel C-PACER Loan ,Other,Other,2625 Thousand Oaks Blvd,Memphis,TN,38118,35.07700156,-89.90206384,4,8,11,,,,,8/21/2024,3665342,,,36700000,,,,,,,,,,
One Memphis C-PACER Loan ,Other,Other,200-202 Jefferson Avenue,Memphis,TN,38103,35.14653557,-90.04936949,7,8,9,25,,,,9/18/2024,1700000,,,0,,,,,,,,,,
"Able Academy, LLC ",Other,Inner City Economic Development Loan,3837 S. Mendenhall Rd.,Memphis,TN,38115,35.04430723,-89.88608815,3,8,11,3,2,,,6/24/2024,22382,,,33573,,,,,,,,,,
John Brewer dba Skyway Computers,Neighborhood Project,Inner City Economic Development Loan,4325 Stage Rd.,Memphis,TN,38128,35.20525922,-89.9175987,1,9,6,3,1,,,6/24/2024,25000,,,67500,,,,,,,,,,
"The Wing Factory, LLC ",Neighborhood Project,Inner City Economic Development Loan,2280 Park Ave,Memphis,TN,38114,35.10861949,-89.98671833,4,8,10,3,3,,,7/17/2024,25000,,,67500,,,,,,,,,,
"Electrolyfe Juice Bar, Inc. ",Neighborhood Project,Inner City Economic Development Loan,1417 Elvis Presley Blvd,Memphis,TN,38106,35.10788768,-90.02146134,4,8,10,3,3,,,7/17/2024,25000,,,38000,,,,,,,,,,
Lettuce Feed You Incorporated dba Salad Expressions ,Neighborhood Project,Inner City Economic Development Loan,1253 East Shelby Drive,Memphis,TN,38116,35.02081724,-90.02240723,3,8,9,3,3,,,8/21/2024,25000,,,53750,,,,,,,,,,
Broad Avenue Community & Economic Development Corporation (BRACED) ,Neighborhood Project,Inner City Economic Development Loan,2954 Broad Avenue,Memphis,TN,38112,35.1474286,-89.96296514,5,9,7,3,3,,,8/21/2024,25000,,,61000,,,,,,,,,,
"Esquire Investments, LLC ",Neighborhood Project,Inner City Economic Development Loan,243 Adams Ave,Memphis,TN,38103,35.14713226,-90.04793686,7,8,8,3,4,,,9/18/2024,25000,,,177500,,,,,,,,,,
Evolve Pilates ,Neighborhood Project,Inner City Economic Development Loan,"605 N.2nd St., Suite 102",Memphis,TN,38105,35.16089432,-90.04520104,7,8,8,3,5,,,11/6/2024,25000,,,81778,,,,,,,,,,
The Fish Net ,Neighborhood Project,Inner City Economic Development Loan,2731 Lamar Ave,Memphis,TN,38114,35.09683283,-89.97183372,4,8,10,3,3,,,11/6/2024,25000,,,70800,,,,,,,,,,
"Riko�s Kickin Chicken, LLC ",Neighborhood Project,Inner City Economic Development Loan,630 Madison Ave,Memphis,TN,38103,35.14181653,-90.03992026,6,8,8,3,8,,,11/6/2024,25000,,,32500,,,,,,,,,,
"Hard Times Delicatessen, LLC ",Neighborhood Project,Inner City Economic Development Loan,655 Marshall Ave,Memphis,TN,38103,35.14011151,-90.03916578,6,8,8,3,10,,,12/18/2024,25000,,,378000,,,,,,,,,,
"Envy Chic Couture Boutique, LLC",Neighborhood Project,Inner City Economic Development Loan,2276 Park Ave,Memphis,TN,38114,35.10862076,-89.98679387,4,8,10,3,3,,,12/18/2024,25000,,,68500,,,,,,,,,,
"Caf� Noir, LLC ",Neighborhood Project,Inner City Economic Development Loan,635 Madison Ave,Memphis,TN,38103,35.14146394,-90.03909067,6,8,8,3,5,,,3/2/2025,25000,,,128150,,,,,,,,,,
